Asset Name,Asset Type,Asset Category,Batch No,Vendor,Invoice,Bill Date,Purchase Date,Usage Date,Cost Centre,Purchase Branch,Current Branch,Current Sub Operating Unit,Currency,Cost Value,Book Value,Salvage Value,Accumulated Depreciation,Adjusted Amount,Warranty Date,Model,asset_description,note,method,method_progress_factor,method_time,depreciation_year,method_period,state
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
CONFERENCE EXECUTIVE CHAIR,Furniture,Chair,Initial,,,,20/6/2018,20/6/2018,,001,001,001,BDT,35296,31478,,3818,,20/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,18/4/2018,18/4/2018,,001,001,001,BDT,15000,13137,,1863,,17/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,8/4/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,8/4/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,17/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,8/4/2018,8/4/2018,,001,001,001,BDT,15000,13098,,1902,,7/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
VISITOR CHAIR,Furniture,Chair,Initial,,,,18/4/2018,18/4/2018,,001,001,001,BDT,15500,13573,,1927,,18/4/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
VISITOR CHAIR,Furniture,Chair,Initial,,,,18/4/2018,18/4/2018,,001,001,001,BDT,15500,13573,,1927,,18/4/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
WORKSTATION CHAIR,Furniture,Chair,Initial,,,,6/8/2018,6/8/2018,,001,001,001,BDT,15000,13562,,1438,,6/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MANAGER CHAIR-CTG SMA DESK,Furniture,Chair,Initial,,,,14/11/2018,14/11/2018,,001,001,001,BDT,22000,20458,,1542,,14/11/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFFICER CHAIR-CTG SMA DESK,Furniture,Chair,Initial,,,,14/11/2018,14/11/2018,,001,001,001,BDT,15000,13945,,1055,,14/11/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFFICER CHAIR-CTG SMA DESK,Furniture,Chair,Initial,,,,14/11/2018,14/11/2018,,001,001,001,BDT,15000,13945,,1055,,14/11/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFFICER CHAIR-CTG SMA DESK,Furniture,Chair,Initial,,,,14/11/2018,14/11/2018,,001,001,001,BDT,15000,13945,,1055,,14/11/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
VISITOR CHAIR-CTG SMA DESK,Furniture,Chair,Initial,,,,14/11/2018,14/11/2018,,001,001,001,BDT,13000,12089,,911,,14/11/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
VISITOR CHAIR-CTG SMA DESK,Furniture,Chair,Initial,,,,14/11/2018,14/11/2018,,001,001,001,BDT,13000,12089,,911,,14/11/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SQUARE DINNING,Furniture,Chair,Initial,,,,14/5/2019,14/5/2019,,001,001,001,BDT,6500,6362,,138,,14/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFFICER CHAIR,Furniture,Chair,Initial,,,,13/2/2019,13/2/2019,,001,001,001,BDT,16000,15263,,737,,13/2/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFFICER CHAIR,Furniture,Chair,Initial,,,,13/2/2019,13/2/2019,,001,001,001,BDT,16000,15263,,737,,13/2/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFFICER CHAIR,Furniture,Chair,Initial,,,,13/2/2019,13/2/2019,,001,001,001,BDT,16000,15263,,737,,13/2/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFFICER CHAIR,Furniture,Chair,Initial,,,,13/2/2019,13/2/2019,,001,001,001,BDT,16000,15263,,737,,13/2/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
DINNING CHAIR-SKY DINING,Furniture,Chair,Initial,,,,23/4/2019,23/4/2019,,001,001,001,BDT,7000,6810,,190,,23/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
