Parent Account,Code,Name,Type
IR on Corporate & SME Demand Loan,24606009,IR on Secured Overdraft against Bank's own TD,General
IR on Corporate & SME Demand Loan,24606010,IR on Secured Overdraft against other Bank's TD,General
IR on Corporate & SME Demand Loan,24606011,IR on Secured Overdraft against Shares etc.,General
IR on Corporate & SME Demand Loan,24606012,IR on Corp Cash Credit Hypo,General
IR on Corporate & SME Demand Loan,24606013,IR on SOD (Shares & Debentures) C or CS??,General
IR on Corporate & SME Demand Loan,24606014,IR on SOD (FO) WBD Cor CS ??,General
IR on Corporate & SME Demand Loan,24606015,IR on Secured Overdraft Work/ Supply Order C or CS ??,General
IR on Corporate & SME Demand Loan,24606016,IR on Secured Overdraft Pay Order C or CS ??,General
IR on Corporate & SME Demand Loan,24606017,IR on Secured Overdraft Real Estate C or CS ??,General
IR on Corporate & SME Demand Loan FC,24607001,IR on Secured Overdraft Business C or CS ??,General
IR on SME Demand Loan,24608001,IR on Secured Overdraft Garments C or CS ??,General
IR on Retail Continuous Loan,24609001,IR on Export Cash Credit C or CS??,General
IR on Retail Continuous Loan,24609002,What is Interest Receivable on SOD (Others) ?? ,General
IR on Retail Continuous Loan,24609003,IR on MTB SME Cash Credit Hypo,General
IR on Corporate &/ or SME Continuous Loan,24610001,IR on MTB Revolving Loan,General
IR on Corporate &/ or SME Continuous Loan,24610002,IR on MTB Microfinance Agri Revolving Loan,General
IR on Corporate &/ or SME Continuous Loan,24610003,IR on MTB Microfinance enterprise Revolving Loan,General
IR on Corporate &/ or SME Continuous Loan,24610004,IR on MTB Light Engineering Revolving Loan,General
IR on Corporate &/ or SME Continuous Loan,24610005,IR on MTB IT Genious Revolving Loan,General
IR on Corporate &/ or SME Continuous Loan,24610006,IR on MTB Krishijat Revolving Loan,General
IR on Corporate &/ or SME Continuous Loan,24610007,IR on Debit Balance in Liability Accounts,General
IR on Corporate &/ or SME Continuous Loan,24610008,PIR on MTB Auto Loan,General
IR on Corporate &/ or SME Continuous Loan,24610009,PIR on MTB Home Loan,General
IR on Corporate &/ or SME Continuous Loan,24610010,PIR on MTB Home Equity Loan,General
IR on SME Continuous Loan,24611001,PIR on MTB NRB Home Loan,General
IR on SME Continuous Loan,24611002,PIR on MTB Neer,General
IR on SME Continuous Loan,24611003,PIR on MTB Personal Loan,General
IR on SME Continuous Loan,24611004,PIR on MTB Professional Loan,General
IR on SME Continuous Loan,24611005,PIR on Consumer Financing,General
IR on SME Continuous Loan,24611006,PIR on Car Loan (Employee),General
IR on SME Continuous Loan,24611007,PIR on Employees House Building Loan,General
IR on Other Loans and Assets,24612001,PIR on Staff Loan Aganist Prov. Fund,General
Penal Interest Receivable on RTL,24701001,Lease Finance (Monthly) Rental receivables Penal,General
Penal Interest Receivable on RTL,24701002,Lease Finance (Quarterly) Rental receivables Penal,General
Penal Interest Receivable on RTL,24701003,PIR on House Building Loan <Developer>,General
Penal Interest Receivable on RTL,24701004,PIR on House Building Loan <Commercial>,General
Penal Interest Receivable on RTL,24701005,PIR on Term Loan Non-Industrial,General
Penal Interest Receivable on RTL,24701006,PIR on Term Loan Industrial,General
Penal Interest Receivable on RTL,24701007,PIR on MTB Digoon,General
Penal Interest Receivable on RTL,24701008,PIR on Small Business Loan Scheme,General
Penal Intt Receivable on Staff Loans,24702001,PIR on  MTB Life Line,General
Penal Intt Receivable on Staff Loans,24702002,PIR on  MTB Krishi,General
Penal Intt Receivable on Staff Loans,24702003,PIR on MTB Inclusive Finance,General
PIR on Corporate Term Loan,24703001,PIR on MTB Bhagyaboti <Re-finance>,General
PIR on Corporate Term Loan,24703002,PIR on MTB Gunaboti <Pre-finance>,General
PIR on Corporate Term Loan,24703003,PIR on MTB Green Energy,General
PIR on Corporate Term Loan,24703004,PIR on MTB IT Geniuos,General
PIR on Corporate Term Loan,24703005,PIR on MTB Krishijat,General
PIR on Corporate Term Loan,24703006,PIR on MTB Light Engineering,General
PIR on SME Term Loan excl Agri & MF,24704001,PIR on  MTB Mousumi,General
PIR on SME Term Loan excl Agri & MF,24704002,PIR on MTB Youth Line,General
PIR on SME Term Loan excl Agri & MF,24704003,PIR on Microfinance <Agri&Micro-TL>,General
PIR on SME Term Loan excl Agri & MF,24704004,PIR on Microfinance (Enterprise-TL),General
PIR on SME Term Loan excl Agri & MF,24704005,PIR on Demand Loan General,General
PIR on SME Term Loan excl Agri & MF,24704006,PIR on Demand Loan Forced,General
PIR on SME Term Loan excl Agri & MF,24704007,PIR on Demand Loan Short Term,General
PIR on SME Term Loan excl Agri & MF,24704008,PIR on Demand Loan Time,General
PIR on SME Term Loan excl Agri & MF,24704009,PIR on Payment Aganist Document,General
PIR on SME Term Loan excl Agri & MF,24704010,PIR on Payment Against Document (B-to-B),General
PIR on SME Term Loan excl Agri & MF,24704011,PIR on Inland Doc. Bill Purchased <Sight>,General
PIR on SME Term Loan excl Agri & MF,24704012,PIR on Inland Doc. Bill Discounted <Usance> Cust Risk,General
PIR on SME Term Loan excl Agri & MF,24704013,PIR on Inland Doc. Bill Discounted <Usance> Bank Risk,General
PIR on SME Term Loan <Agri & MF>,24705001,PIR on Foreign D.B Purchased <Sight>,General
PIR on SME Term Loan <Agri & MF>,24705002,PIR on Foreign D.B Discounted <Usance> Cust Risk,General
PIR on Corporate & SME Demand Loan,24706001,PIR on Foreign D.B Discounted <Usance> Bank Risk,General
PIR on Corporate & SME Demand Loan,24706002,PIR on Loan Against Trust Receipt ,General
PIR on Corporate & SME Demand Loan,24706003,PIR on Cash Aganist Document DL,General
PIR on Corporate & SME Demand Loan,24706004,PIR on Demand Loan Garments,General
PIR on Corporate & SME Demand Loan,24706005,PIR on Packing Credit,General
PIR on Corporate & SME Demand Loan,24706006,PIR on Advance Against Cash Incentive ,General
PIR on Corporate & SME Demand Loan,24706007,PIR on EDF Loan <USD>,General
PIR on Corporate & SME Demand Loan,24706008,PIR on Demand Loans against Rural Credit,General
PIR on Corporate & SME Demand Loan,24706009,PIR on Secured Overdraft against Bank's own TD,General
PIR on Corporate & SME Demand Loan,24706010,PIR on Secured Overdraft against other Bank's TD,General
PIR on Corporate & SME Demand Loan,24706011,PIR on Secured Overdraft against Shares etc.,General
PIR on Corporate & SME Demand Loan,24706012,PIR on Corp Cash Credit Hypo,General
PIR on Corporate & SME Demand Loan,24706013,PIR on SOD (Shares & Debentures) C or CS??,General
PIR on Corporate & SME Demand Loan,24706014,PIR on SOD (FO) WBD Cor CS ??,General
PIR on Corporate & SME Demand Loan,24706015,PIR on Secured Overdraft Work/ Supply Order C & CS,General
PIR on Corporate & SME Demand Loan,24706016,PIR on Secured Overdraft Pay Order C & CS,General
PIR on Corporate & SME Demand Loan,24706017,PIR on Secured Overdraft Real Estate C & CS,General
PIR on Corporate & SME Demand Loan FC,24707001,PIR on Secured Overdraft Business C & CS,General
PIR on SME Demand Loan,24708001,PIR on Secured Overdraft Garments C & CS,General
PIR on Retail Continuous Loan,24709001,PIR on Export Cash Credit C & CS,General
PIR on Retail Continuous Loan,24709002,Penal Interest Receivable on SOD (Others) ,General
PIR on Retail Continuous Loan,24709003,PIR on MTB SME Cash Credit Hypo,General
PIR on Corporate &/ or SME Continuous Loan,24710001,PIR on MTB Revolving Loan,General
PIR on Corporate &/ or SME Continuous Loan,24710002,PIR on MTB Microfinance Agri Revolving Loan,General
PIR on Corporate &/ or SME Continuous Loan,24710003,PIR on MTB Microfinance enterprise Revolving Loan,General
PIR on Corporate &/ or SME Continuous Loan,24710004,PIR on MTB Light Engineering Revolving Loan,General
PIR on Corporate &/ or SME Continuous Loan,24710005,PIR on MTB IT Genious Revolving Loan,General
PIR on Corporate &/ or SME Continuous Loan,24710006,PIR on MTB Krishijat Revolving Loan,General
PIR on Corporate &/ or SME Continuous Loan,24710007,Bill DiscountingUSD,General
PIR on Corporate &/ or SME Continuous Loan,24710008,UPAS/ Buyer's Credit USD,General
PIR on Corporate &/ or SME Continuous Loan,24710009,Debit Balance in Liability Accounts,General
PIR on SME Continuous Loan,24711001,Land,General
PIR on SME Continuous Loan,24711002,Immovable Property other than Land,General
PIR on SME Continuous Loan,24711007,Motor Cycles,General
Office Equipments,25104001,Advance against Suppliers/ Parties <Vendors>,General
Motor Vehicles,25107002,Advance Rent <Advance Rent_less than 1 year>,General
Books & Periodicals,25108001,Advance Rent <Advance Rent_more than 1 year>,General
Advance against Suppliers/ Parties,26202001,IR on Placement to Off-Shore Banking Unit,General
Advance Income Tax,26204001,Receivable from Subsidiaries Others,General
Advance against POSTAGE,26209001,Suspense account for Exchange Houses 1,General
Coupon Interest Expenditure Account,26301001,Suspense account for Exchange Houses 2,General
Chargeback Settlement A/c,26601001,Repo Interest Expenditure Account,General
Sanchay Patra,26603001,Stamps in Hand,General
Suspense account for Foreign Banks,26606001,Printed stationeries,General
Suspense account for Exchange Houses,26607001,Security Stationeries,General
Remittance Payment Account,26608001,Transit Account _Repo,General
Suspense account for Exchange Houses,26607002,Transit Account Bangladesh Bank,General
DD Paid Without Advice,26609001,IE on MTB Auto Loan,General
Receivable from OBU,26701001,IE on MTB Home Loan,General
Preliminary Expenses,26901001,IE on MTB Home Equity Loan,General
Prepaid Promotional and Development Expenses,26902001,IE on MTB Neer,General
Stock of Commemorative Coins,26903001,IE on MTB Professional Loan,General
Stock of Fixed Assets,26904001,IE on Consumer Financing,General
Stock of stationeries,26905001,IE on Car Loan (Employee),General
Stock of stationeries,26905002,IE on Employees House Building Loan,General
Transit Account,26906001,IE on Staff Loan Aganist Prov. Fund,General
Transit Account,26906002,Lease Finance (Monthly) Rental Earned,General
Branch Account,27101001,Lease Finance (Quarterly) Rental Earned,General
Expenditure for the period fm 1st Jan to ..,28101001,IE on House Building Loan <Developer>,General
Interest Earned on RTL,31101001,IE on House Building Loan <Commercial>,General
Interest Earned on RTL,31101002,IE on Term Loan Non-Industrial,General
Interest Earned on RTL,31101003,IE on Term Loan Industrial,General
Interest Earned on RTL,31101004,IE on MTB Digoon,General
Interest Earned on RTL,31101005,IE on Small Business Loan Scheme,General
Interest Earned on RTL,31101006,IE on  MTB Life Line,General
Interest Earned on RTL,31101007,IE on  MTB Krishi,General
Interest Earned on RTL,31101008,IE on MTB Inclusive Finance,General
Interest Earned on Staff Loans,31102001,IE on MTB Bhagyaboti <Re-finance>,General
Interest Earned on Staff Loans,31102002,IE on MTB Gunaboti <Pre-finance>,General
Interest Earned on Staff Loans,31102003,IE on MTB Green Energy,General
IE on Corporate Term Loan,31103001,IE on MTB IT Geniuos,General
IE on Corporate Term Loan,31103002,IE on MTB Krishijat,General
IE on Corporate Term Loan,31103003,IE on MTB Light Engineering,General
IE on Corporate Term Loan,31103004,IE on  MTB Mousumi,General
IE on Corporate Term Loan,31103005,IE on MTB Youth Line,General
IE on Corporate Term Loan,31103006,IE on Microfinance <Agri&Micro-TL>,General
IE on SME Term Loan excl Agri & MF,31104001,IE on Microfinance (Enterprise-TL),General
IE on SME Term Loan excl Agri & MF,31104002,IE on Demand Loan General,General
IE on SME Term Loan excl Agri & MF,31104003,IE on Demand Loan Forced,General
IE on SME Term Loan excl Agri & MF,31104004,IE on Demand Loan Short Term,General
IE on SME Term Loan excl Agri & MF,31104005,IE on Demand Loan Time,General
IE on SME Term Loan excl Agri & MF,31104006,IE on Payment Aganist Document,General
IE on SME Term Loan excl Agri & MF,31104007,IE on Payment Against Document (B-to-B),General
IE on SME Term Loan excl Agri & MF,31104008,IE on Inland Doc. Bill Purchased <Sight>,General
IE on SME Term Loan excl Agri & MF,31104009,IE on Inland Doc. Bill Discounted <Usance> Cust Risk,General
IE on SME Term Loan excl Agri & MF,31104010,IE on Inland Doc. Bill Discounted <Usance> Bank Risk,General
IE on SME Term Loan excl Agri & MF,31104011,IE on Foreign D.B Purchased <Sight>,General
IE on SME Term Loan excl Agri & MF,31104012,IE on Foreign D.B Discounted <Usance> Cust Risk,General
IE on SME Term Loan excl Agri & MF,31104013,IE on Foreign D.B Discounted <Usance> Bank Risk,General
IE on SME Term Loan <Agri & MF>,31105001,IE on Loan Against Trust Receipt ,General
IE on SME Term Loan <Agri & MF>,31105002,IE on Cash Aganist Document DL,General
IE on Corporate & SME Demand Loan,31106001,IE on Demand Loan Garments,General
IE on Corporate & SME Demand Loan,31106002,IE on Packing Credit,General
IE on Corporate & SME Demand Loan,31106003,IE on Advance Against Cash Incentive ,General
IE on Corporate & SME Demand Loan,31106004,IE on EDF Loan <USD>,General
IE on Corporate & SME Demand Loan,31106005,IE on Demand Loans against Rural Credit,General
IE on Corporate & SME Demand Loan,31106006,IE on Secured Overdraft against Bank's own TD,General
IE on Corporate & SME Demand Loan,31106007,IE on Secured Overdraft against other Bank's TD,General
IE on Corporate & SME Demand Loan,31106008,IE on Secured Overdraft against Shares etc.,General
IE on Corporate & SME Demand Loan,31106009,IE on Corp Cash Credit Hypo,General
IE on Corporate & SME Demand Loan,31106010,IE on SOD (Shares & Debentures) C or CS??,General
IE on Corporate & SME Demand Loan,31106011,IE on SOD (FO) WBD Cor CS ??,General
IE on Corporate & SME Demand Loan,31106012,IE on Secured Overdraft Work/ Supply Order C or CS ??,General
IE on Corporate & SME Demand Loan,31106013,IE on Secured Overdraft Pay Order C or CS ??,General
IE on Corporate & SME Demand Loan,31106014,IE on Secured Overdraft Real Estate C or CS ??,General
IE on Corporate & SME Demand Loan,31106015,IE on Secured Overdraft Business C or CS ??,General
IE on Corporate & SME Demand Loan,31106016,IE on Secured Overdraft Garments C or CS ??,General
IE on Corporate & SME Demand Loan,31106017,IE on Export Cash Credit C or CS??,General
IE on Corporate & SME Demand Loan FC,31107001,What is Interest Earned on SOD (Others) ?? ,General
IE on SME Demand Loan,31108001,IE on MTB SME Cash Credit Hypo,General
IE on Retail Continuous Loan,31109001,IE on MTB Revolving Loan,General
IE on Retail Continuous Loan,31109002,IE on MTB Microfinance Agri Revolving Loan,General
IE on Retail Continuous Loan,31109003,IE on MTB Microfinance enterprise Revolving Loan,General
IE on Corporate &/ or SME Continuous Loan,31110001,IE on MTB Light Engineering Revolving Loan,General
IE on Corporate &/ or SME Continuous Loan,31110002,IE on MTB IT Genious Revolving Loan,General
IE on Corporate &/ or SME Continuous Loan,31110003,IE on MTB Krishijat Revolving Loan,General
IE on Corporate &/ or SME Continuous Loan,31110004,IE on Foreign Cheque Purchased,General
IE on Corporate &/ or SME Continuous Loan,31110005,IE on Inland Cheque Purchased,General
IE on Corporate &/ or SME Continuous Loan,31110006,P I E on MTB Auto Loan,General
IE on Corporate &/ or SME Continuous Loan,31110007,P I E on MTB Home Loan,General
IE on Corporate &/ or SME Continuous Loan,31110008,P I E on MTB Home Equity Loan,General
IE on Corporate &/ or SME Continuous Loan,31110009,P I E on MTB NRB Home Loan,General
IE on Corporate &/ or SME Continuous Loan,31110010,P I E on MTB Neer,General
IE on SME Continuous Loan,31111001,P I E on MTB Personal Loan,General
IE on SME Continuous Loan,31111002,P I E on MTB Professional Loan,General
IE on SME Continuous Loan,31111003,P I E on Consumer Financing,General
IE on SME Continuous Loan,31111004,P I E on Car Loan (Employee),General
IE on SME Continuous Loan,31111005,P I E on Employees House Building Loan,General
IE on SME Continuous Loan,31111006,P I E on Staff Loan Aganist Prov. Fund,General
IE on SME Continuous Loan,31111007,Lease Finance (Monthly) Rental Earned <Penalty>,General
IE on Misc Demand Loan,31112001,Lease Finance (Qtly) Rental Earned <Penalty>,General
IE on Misc Demand Loan,31112002,P I E on House Building Loan <Developer>,General
Penal Interest Earned on RTL,31201001,P I E on House Building Loan <Commercial>,General
Penal Interest Earned on RTL,31201002,P I E on Term Loan Non-Industrial,General
Penal Interest Earned on RTL,31201003,P I E on Term Loan Industrial,General
Penal Interest Earned on RTL,31201004,P I E on MTB Digoon,General
Penal Interest Earned on RTL,31201005,P I E on Small Business Loan Scheme,General
Penal Interest Earned on RTL,31201006,P I E on  MTB Life Line,General
Penal Interest Earned on RTL,31201007,P I E on  MTB Krishi,General
Penal Interest Earned on RTL,31201008,P I E on MTB Inclusive Finance,General
Penal Interest Earned on Staff Loans,31202001,P I E on MTB Bhagyaboti <Re-finance>,General
Penal Interest Earned on Staff Loans,31202002,P I E on MTB Gunaboti <Pre-finance>,General
Penal Interest Earned on Staff Loans,31202003,P I E on MTB Green Energy,General
P I E on Corporate Term Loan,31203001,P I E on MTB IT Geniuos,General
P I E on Corporate Term Loan,31203002,P I E on MTB Krishijat,General
P I E on Corporate Term Loan,31203003,P I E on MTB Light Engineering,General
P I E on Corporate Term Loan,31203004,P I E on  MTB Mousumi,General
P I E on Corporate Term Loan,31203005,P I E on MTB Youth Line,General
P I E on Corporate Term Loan,31203006,P I E on Microfinance <Agri&Micro-TL>,General
P I E on SME Term Loan excl Agri & MF,31204001,P I E on Microfinance (Enterprise-TL),General
P I E on SME Term Loan excl Agri & MF,31204002,P I E on Demand Loan General,General
P I E on SME Term Loan excl Agri & MF,31204003,P I E on Demand Loan Forced,General
P I E on SME Term Loan excl Agri & MF,31204004,P I E on Demand Loan Short Term,General
P I E on SME Term Loan excl Agri & MF,31204005,P I E on Demand Loan Time,General
P I E on SME Term Loan excl Agri & MF,31204006,P I E on Payment Aganist Document,General
P I E on SME Term Loan excl Agri & MF,31204007,P I E on Payment Against Document (B-to-B),General
P I E on SME Term Loan excl Agri & MF,31204008,P I E on Inland Doc. Bill Purchased <Sight>,General
P I E on SME Term Loan excl Agri & MF,31204009,P I E on Inland Doc. Bill Discounted <Usance> Cust Risk,General
P I E on SME Term Loan excl Agri & MF,31204010,P I E on Inland Doc. Bill Discounted <Usance> Bank Risk,General
P I E on SME Term Loan excl Agri & MF,31204011,P I E on Foreign D.B Purchased <Sight>,General
P I E on SME Term Loan excl Agri & MF,31204012,P I E on Foreign D.B Discounted <Usance> Cust Risk,General
P I E on SME Term Loan excl Agri & MF,31204013,P I E on Foreign D.B Discounted <Usance> Bank Risk,General
P I E on SME Term Loan <Agri & MF>,31205001,P I E on Loan Against Trust Receipt ,General
P I E on SME Term Loan <Agri & MF>,31205002,P I E on Cash Aganist Document DL,General
P I E on Corporate & SME Demand Loan,31206001,P I E on Demand Loan Garments,General
P I E on Corporate & SME Demand Loan,31206002,P I E on Packing Credit,General
P I E on Corporate & SME Demand Loan,31206003,P I E on Advance Against Cash Incentive ,General
P I E on Corporate & SME Demand Loan,31206004,P I E on EDF Loan <USD>,General
P I E on Corporate & SME Demand Loan,31206005,P I E on Demand Loans against Rural Credit,General
P I E on Corporate & SME Demand Loan,31206006,P I E on Secured Overdraft against Bank's own TD,General
P I E on Corporate & SME Demand Loan,31206007,P I E on Secured Overdraft against other Bank's TD,General
P I E on Corporate & SME Demand Loan,31206008,P I E on Secured Overdraft against Shares etc.,General
P I E on Corporate & SME Demand Loan,31206009,P I E on Corp Cash Credit Hypo,General
P I E on Corporate & SME Demand Loan,31206010,P I E on SOD (Shares & Debentures) C or CS??,General
P I E on Corporate & SME Demand Loan,31206011,P I E on SOD (FO) WBD Cor CS ??,General
P I E on Corporate & SME Demand Loan,31206012,P I E on Secured Overdraft Work/ Supply Order C or CS ??,General
P I E on Corporate & SME Demand Loan,31206013,P I E on Secured Overdraft Pay Order C or CS ??,General
P I E on Corporate & SME Demand Loan,31206014,P I E on Secured Overdraft Real Estate C or CS ??,General
P I E on Corporate & SME Demand Loan,31206015,P I E on Secured Overdraft Business C or CS ??,General
P I E on Corporate & SME Demand Loan,31206016,P I E on Secured Overdraft Garments C or CS ??,General
P I E on Corporate & SME Demand Loan,31206017,P I E on Export Cash Credit C or CS??,General
P I E on Corporate & SME Demand Loan FC,31207001,What is Penal Interest Earned on SOD (Others) ?? ,General
P I E on SME Demand Loan,31208001,P I E on MTB SME Cash Credit Hypo,General
P I E on Retail Continuous Loan,31209001,P I E on MTB Revolving Loan,General
P I E on Retail Continuous Loan,31209002,P I E on MTB Microfinance Agri Revolving Loan,General
P I E on Retail Continuous Loan,31209003,P I E on MTB Microfinance enterprise Revolving Loan,General
P I E on Corporate &/ or SME Continuous Loan,31210001,P I E on MTB Light Engineering Revolving Loan,General
P I E on Corporate &/ or SME Continuous Loan,31210002,P I E on MTB IT Genious Revolving Loan,General
P I E on Corporate &/ or SME Continuous Loan,31210003,P I E on MTB Krishijat Revolving Loan,General
P I E on SME Continuous Loan,31211002,Treasury Bill,General
P I E on SME Continuous Loan,31211003,Amortization of HFT Securites Treasury Bill,General
P I E on SME Continuous Loan,31211004,Revaluation Gain HFT Securites Treasury Bill-MTM,General
P I E on SME Continuous Loan,31211005,Gain on Sale of Treasury Bill,General
P I E on SME Continuous Loan,31211006,Gain from Repo (Treasury Bill),General
P I E on SME Continuous Loan,31211007,Interest on Treasury Bond,General
Interest on MTB General Account,31301001,Revaluation Gain HFT Securites Treasury Bond -MTM,General
Interest on Money at Call  and Short Notice,31401001,Gain on Sale of Treasury Bond,General
Interest on Placement to Off-Shore Banking Unit,31402001,Gain from Repo (Treasury Bond),General
Interest on Balance with Other Bank,31403001,Coupon Interest of Treasury Bond (Repo),General
Interest on Balance with Foreign Bank,31404001,Underwriting Commission on Treasury Bill/Bond,General
Interest on Foreign Currency Lending,31405001,Discount on Bills,General
Repo Interest Income,31406001,Interest on Reverse REPO,General
Interest on Bangladesh Bank Foreign Currency Clearing A/c,31407001,Gain from Govt. Securities,General
Income from Treasury Operations <Govt Sec.>,32101001,Other Approved Securities,General
Income from Treasury Operations <Govt Sec.>,32101002,Interest on Investment in Commercial Paper,General
Income from Treasury Operations <Govt Sec.>,32101003,Income from Bond,General
Income from Treasury Operations <Govt Sec.>,32101004,Capital Gain from Investment in Shares,General
Income from Treasury Operations <Govt Sec.>,32101005,Dividend Income from Investment in Shares,General
Income from Treasury Operations <Govt Sec.>,32101006,Capital Gain from Mutual Fund,General
Income from Treasury Operations <Govt Sec.>,32101007,Income from Debentures,General
Income from Treasury Operations <Govt Sec.>,32101008,Dividend Income from Mutual Fund,General
Income from Treasury Operations <Govt Sec.>,32101009,Inland Remittances (DD/TT),General
Income from Treasury Operations <Govt Sec.>,32101010,Pay Order Issued,General
Income from Treasury Operations <Govt Sec.>,32101011,Commission on IPO Collection,General
Income from Treasury Operations <Govt Sec.>,32101012,Foreign Remittance (FDD/TC),General
Income from Treasury Operations <Govt Sec.>,32101013,Online Service,General
Income from Treasury Operations <Govt Sec.>,32101014,POS Commission,General
Income from Treasury Operations <Govt Sec.>,32101015,RTGS Commission,General
Income from Treasury Operations <other than Govt Sec.>,32201001,Comm. on OBC/IBC <SC> Inland Cheque Collection,General
Income from Other Investments,32202001,Comm. on FSC <Foreign Cheque Collection>,General
Income from Other Investments,32202002,Comm. on CP <Inland Cheque Purchased>,General
Income from Other Investments,32202003,Comm. on FCP <Foreign Cheque Purchased>,General
Income from Other Investments,32202004,Collection Commission - Import,General
Income from Other Investments,32202005,Commn on Bills Purchased ,General
Commission on GB operations,33101001,Commn on Bank Guarantee,General
Commission on GB operations,33101002,L.C. (Advising/Transfer),General
Commission on GB operations,33101003,Comm. on Acceptance of Bill _ VAT Applicable,General
Commission on GB operations,33101004,Comm. on Acceptance of Bill - VAT Not Applicable,General
Commission on GB operations,33101005,Commission on LC - VAT applicable,General
Commission on GB operations,33101007,Commission on LC -VAT-Not Applicable ,General
Commission on GB operations,33101008,Commission on Shipping Guarantee,General
Commission on GB operations,33101009,Commission on Exchange House,General
Commission on Trade operations,33102001,Rent on Lockers,General
Commission on Trade operations,33102002,Rent on Godown,General
Commission on Trade operations,33102003,Rent on Others,General
Commission on Trade operations,33102004,Godown Insurance Recoveries,General
Commission on Trade operations,33102005,Postage Recoveries,General
Commission on Trade operations,33102006,Telex/TP/Telegram/SMS Recoveries,General
Commission on Trade operations,33102007,Printing and Stationary Charges Recovery,General
Commission on Trade operations,33102008,Incidental Charge Recoveries,General
Commission on Trade operations,33102009,Legal Charge Recoveries,General
Commission on Trade operations,33102010,SWIFT Charges Recoveries,General
Commission on NRB operations,33103001,Recovery of NID varification charges,General
Exchange Gain on Foreign Currency,33201001,Locker Insurance Premium Recoveries,General
Income on Forex Deal,33202001,CVP Charge Recoveries,General
Underwriting Commission,33302001,Annual Service Charge <Cards>,General
Rental Income,34101001,Cards Replacement Charge,General
Rental Income,34101002,Cheque Processing Fees - Credit Card,General
Rental Income,34101003,Late Payment Charge - Credit Card,General
Recoveries of various charges,34102001,Transaction Charge - Credit Card,General
Recoveries of various charges,34102002,Credit Card Insurance Premium,General
Recoveries of various charges,34102003,Card Acquiring Income (ATM),General
Recoveries of various charges,34102004,POS Issuer Fee,General
Recoveries of various charges,34102005,Early Settlement Fee on MTB Auto Loan,General
Recoveries of various charges,34102006,Early Settlement Fee - MTB Neer,General
Recoveries of various charges,34102007,Early Settlement Fee on MTB Personal Loan,General
Recoveries of various charges,34102008,Early Settlement Fee on MTB Home Equity Loan ,General
Recoveries of various charges,34102009,Early Settlement Fee on MTB Home Loan ,General
Recoveries of various charges,34102010,Early Settlement Charge others,General
Income fm Cards operations,34103001,Loan Processing Fee- MTB Auto loan,General
Income fm Cards operations,34103003,Loan Processing Fee  - MTB Neer,General
Income fm Cards operations,34103005,Loan Processing Fee- MTB Personal loan,General
Income fm Cards operations,34103006,Loan Processing Fee- MTB Home Equity loan,General
Income fm Cards operations,34103007,Loan Processing Fee- MTB Home loan,General
Income fm Cards operations,34103013,Loan Processing Fee others,General
Income fm Cards operations,34103015,Partial Payment Fee- MTB Auto Loan ,General
Income fm Cards operations,34103016,Partial Payment Fee- MTB Home Loan,General
Early Settlement Fees,34104001,Partial Payment Fee- MTB Personal Loan ,General
Early Settlement Fees,34104002,Partial Payment Fee- MTB Home Equity Loan ,General
Early Settlement Fees,34104003,Partial Payment Fee  - MTB Neer,General
Early Settlement Fees,34104004,Processing Fees,General
Early Settlement Fees,34104005,Partial Settlement Fees,General
Loan Processing Fees,34105001,Loan Application Fees,General
Loan Processing Fees,34105002,Rescheduling Fees,General
Loan Processing Fees,34105003,Security Replacement Fees,General
Loan Processing Fees,34105004,Loan Reduction & Security Partial Release,General
Loan Processing Fees,34105005,Excess Over Limit (EOL) Charges,General
Loan Processing Fees,34105006,Guarantor Change Charges,General
Partial Payment Fees,34106001,Certificate Issuance Charges,General
Partial Payment Fees,34106002,Documentation Waiver Charges,General
Partial Payment Fees,34106003,Loan Type Conversion Fees,General
Partial Payment Fees,34106004,Transfer Charges,General
Partial Payment Fees,34106005,Standing Instruction Charges,General
SME Fees & Charges,34107001,Account Closing Fees,General
SME Fees & Charges,34107002,A/c Maintenance Fees,General
SME Fees & Charges,34107003,Time Extension Charges,General
SME Fees & Charges,34107004,CPV Charges,General
SME Fees & Charges,34107005,Doc. Exception Charges,General
SME Fees & Charges,34107006,Postage Charges,General
SME Fees & Charges,34107007,Other Charges,General
SME Fees & Charges,34107008,Interest Reduction Charges,General
SME Fees & Charges,34107009,Documentation Deferral Charges,General
SME Fees & Charges,34107010,Change of Management/Business Title Charges,General
SME Fees & Charges,34107011,Account Statement Charges,General
SME Fees & Charges,34107013,Handling Charges,General
SME Fees & Charges,34107014,Service Charge-Refund Warrant,General
SME Fees & Charges,34107015,Margin A/C Maintenance Income,General
SME Fees & Charges,34107016,Syndication Participation Fee,General
SME Fees & Charges,34107017,Add Confirmation (Management Fee),General
SME Fees & Charges,34107018,Management Fee (Corporate Finance),General
SME Fees & Charges,34107021,Miscellaneous Earnings,General
SME Fees & Charges,34107022,Misc. Income Retail,General
SME Fees & Charges,34107023,Recovery of Written Off Loans - Corporate,General
SME Fees & Charges,34107024,Recovery of Written Off Loans - Retail,General
SME Fees & Charges,34107025,Recovery of Written Off Loans - SME,General
Service Charges,34108001,Interest Expenses MTB Probaho,General
Service Charges,34108002,I Expenses MTB Ankur,General
Service Charges,34108003,I Expenses MTB Ruby,General
Service Charges,34108004,I Expenses MTB Graduate,General
