Name,Can be Sold,Can be Purchased,Product Type,Sale Price,Company,Active,Cost Price,Quantity On Hand,Product Attributes/Attribute/Name,Product Attributes/Attribute/Values,Internal Category,Inventory Valuation
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask rose,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,21,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask strawberry,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,22,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree it's real squeeze mask Tea Tree,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,16,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater ampoule skin,True,True,Stockable Product,2650,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater deep cream,True,True,Stockable Product,2450,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater deep essence,True,True,Stockable Product,2450,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater eye serum,True,True,Stockable Product,2950,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater intensive ampoule,True,True,Stockable Product,2950,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater lotion,True,True,Stockable Product,2650,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju sparkling mineral essence,True,True,Stockable Product,2550,FEEEL BEAUTY,True,0,5,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree jeju volcanic blackhead 3 step program,True,True,Stockable Product,550,FEEEL BEAUTY,True,0,49,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju volcanic pore clay mask,True,True,Stockable Product,1200,FEEEL BEAUTY,True,0,9,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju volcanic pore cleansing foam,True,True,Stockable Product,900,FEEEL BEAUTY,True,0,5,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju volcanic pore toner,True,True,Stockable Product,1950,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Swept Away (Face Wash),True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
