Layer,Code,Name,Parent Account,Type,active,pending,state
Layer 4,42319,Employees Medical Assistance Fund,Other Expenses,View Type,True,False,approve
Layer 4,42320,Honorarium,Other Expenses,View Type,True,False,approve
Layer 4,42321,Cash Carrying/loading expenses,Other Expenses,View Type,True,False,approve
Layer 4,42322,Contact Point Verification Charge,Other Expenses,View Type,True,False,approve
Layer 4,42323,Site Maintenance & Support Service,Other Expenses,View Type,True,False,approve
Layer 4,42324,On-line & Connectivity charges,Other Expenses,View Type,True,False,approve
Layer 4,42325,NID Verification Charge,Other Expenses,View Type,True,False,approve
Layer 4,42326,Loss on sale of Fixed Assets,Other Expenses,View Type,True,False,approve
Layer 4,42327,Misc Expenses <not classified elsewhere>,Other Expenses,View Type,True,False,approve
Layer 4,42328,Investment Expenses,Other Expenses,View Type,True,False,approve
Layer 4,42329,Charges other than Bank in FC,Other Expenses,View Type,True,False,approve
Layer 4,42330,Operational Loss,Other Expenses,View Type,True,False,approve
Layer 4,42331,Penalty of CRR/SLR,Other Expenses,View Type,True,False,approve
Layer 4,42332,ATM Intercharge Reimbursement Fee Paid for,Other Expenses,View Type,True,False,approve
Layer 4,42333,Agent Banking Float Sharing Commission,Other Expenses,View Type,True,False,approve
Layer 4,42334,CRR Cost,Other Expenses,View Type,True,False,approve
Layer 4,42401,Depreciation on Immovable Property,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42402,Depreciation on Furniture & Fixture,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42403,Depreciation on Office Equipments,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42404,Depreciation on Computers,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42405,Depreciation on Motor Vehicles,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42406,Depreciation on Intangible Assets,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42409,Repair and Maintenance,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42501,Postage Expenses,"Postage, Stamps and Telecommunication etc.",View Type,True,False,approve
Layer 4,42502,Telecommunication expenses,"Postage, Stamps and Telecommunication etc.",View Type,True,False,approve
Layer 4,42503,Stamp Expenses,"Postage, Stamps and Telecommunication etc.",View Type,True,False,approve
Layer 4,42701,Stationery Expenses,"Stationery, Printing and Advertisements etc.",View Type,True,False,approve
Layer 4,42702,Printing Expenses,"Stationery, Printing and Advertisements etc.",View Type,True,False,approve
Layer 4,42703,Advertisements Expenses,"Stationery, Printing and Advertisements etc.",View Type,True,False,approve
